KEYWORD,MATCHING SENTENCE,PAGE URL
note,Release Notes,https://www.nltk.org/
note,Release Notes,https://www.nltk.org/api/nltk.html
note,"TGrep search implementation for NLTK trees
Usage
Caveats:
Known Issues:
Implementation notes",https://www.nltk.org/api/nltk.html
note,Implementation notes,https://www.nltk.org/api/nltk.html
note,Release Notes,https://www.nltk.org/howto.html
note,Release Notes,https://www.nltk.org/py-modindex.html
note,Release Notes,https://www.nltk.org/install.html
note,Release Notes,https://www.nltk.org/data.html
should,"A new window should open, showing the NLTK Downloader.",https://www.nltk.org/data.html
should,"If your web connection uses a proxy server, you should specify the proxy address as follows.",https://www.nltk.org/data.html
note,Release Notes,https://www.nltk.org/news.html
note,Release Notes¶,https://www.nltk.org/news.html
warning,Use of old names will generate deprecation warnings that indicate the correct name to use.,https://www.nltk.org/news.html
warning,Use of old names will generate deprecation warnings that indicate the correct name to use.,https://www.nltk.org/news.html
note,Release Notes,https://www.nltk.org/contribute.html
note,Release Notes,https://www.nltk.org/team.html
note,Release Notes,https://www.nltk.org/api/nltk.app.html
note,Release Notes,https://www.nltk.org/api/nltk.app.chartparser_app.html
note,Release Notes,https://www.nltk.org/api/nltk.app.chunkparser_app.html
note,Release Notes,https://www.nltk.org/api/nltk.app.collocations_app.html
note,Release Notes,https://www.nltk.org/api/nltk.app.concordance_app.html
note,Release Notes,https://www.nltk.org/api/nltk.app.nemo_app.html
note,Release Notes,https://www.nltk.org/api/nltk.app.rdparser_app.html
note,Release Notes,https://www.nltk.org/api/nltk.app.srparser_app.html
only,Only shift if no reductions are available.,https://www.nltk.org/api/nltk.app.srparser_app.html
only,Only shift if no reductions are available.,https://www.nltk.org/api/nltk.app.srparser_app.html
note,Note that reductions can only be applied to the top of the stack.,https://www.nltk.org/api/nltk.app.srparser_app.html
only,Note that reductions can only be applied to the top of the stack.,https://www.nltk.org/api/nltk.app.srparser_app.html
note,Release Notes,https://www.nltk.org/api/nltk.app.wordfreq_app.html
note,Release Notes,https://www.nltk.org/api/nltk.app.wordnet_app.html
note,Release Notes,https://www.nltk.org/api/nltk.ccg.html
note,Release Notes,https://www.nltk.org/api/nltk.ccg.api.html
only,"prim_only (bool) – a boolean that determines whether the variable is
restricted to primitives",https://www.nltk.org/api/nltk.ccg.api.html
note,"’ denotes that permuting operations are disallowed
‘,’ denotes that function composition is disallowed
‘_’ denotes that the direction has variable restrictions.",https://www.nltk.org/api/nltk.ccg.api.html
note,Release Notes,https://www.nltk.org/api/nltk.ccg.chart.html
should,"printCCGDerivation(<parse tree extracted from list>)
which should print a nice representation of the derivation.",https://www.nltk.org/api/nltk.ccg.chart.html
should,"The number of edges
that should be passed to apply() is specified by the
NUM_EDGES class variable.",https://www.nltk.org/api/nltk.ccg.chart.html
should,"The number of edges
that should be passed to apply() is specified by the
NUM_EDGES class variable.",https://www.nltk.org/api/nltk.ccg.chart.html
should,"The number of edges
that should be passed to apply() is specified by the
NUM_EDGES class variable.",https://www.nltk.org/api/nltk.ccg.chart.html
note,Release Notes,https://www.nltk.org/api/nltk.ccg.combinator.html
note,"Note that as no assumptions are made as to direction, the unrestricted
combinators can perform all backward, forward and crossed variations
of the combinators; these restrictions must be added in the rule
class.",https://www.nltk.org/api/nltk.ccg.combinator.html
must,"Note that as no assumptions are made as to direction, the unrestricted
combinators can perform all backward, forward and crossed variations
of the combinators; these restrictions must be added in the rule
class.",https://www.nltk.org/api/nltk.ccg.combinator.html
note,Release Notes,https://www.nltk.org/api/nltk.ccg.lexicon.html
note,Release Notes,https://www.nltk.org/api/nltk.ccg.logic.html
note,Release Notes,https://www.nltk.org/api/nltk.chat.html
note,Release Notes,https://www.nltk.org/api/nltk.chat.eliza.html
note,Release Notes,https://www.nltk.org/api/nltk.chat.iesha.html
note,Release Notes,https://www.nltk.org/api/nltk.chat.rude.html
note,Release Notes,https://www.nltk.org/api/nltk.chat.suntsu.html
note,Release Notes,https://www.nltk.org/api/nltk.chat.util.html
note,Release Notes,https://www.nltk.org/api/nltk.chat.zen.html
note,Release Notes,https://www.nltk.org/api/nltk.chunk.html
only,"”  A chunk structure is a tree
containing tokens and chunks, where each chunk is a subtree containing
only tokens.",https://www.nltk.org/api/nltk.chunk.html
only,RegexpChunkParser can only be used to chunk a single kind of phrase.,https://www.nltk.org/api/nltk.chunk.html
